Lattitude,Longitude,Restaurant,State
-112.12158000000001,33.48429,BurgerKing,AZ
-112.12057,33.58171,BurgerKing,AZ
-112.11487,33.52421,BurgerKing,AZ
-112.10874,33.55325,BurgerKing,AZ
-112.10862,33.50967,BurgerKing,AZ
-112.10673999999999,33.68394,BurgerKing,AZ
-112.08241000000001,33.43008,BurgerKing,AZ
-112.07383999999999,33.47618,BurgerKing,AZ
-112.07314,33.39931,BurgerKing,AZ
-112.07247,33.44835,BurgerKing,AZ
-112.07037,33.5676,BurgerKing,AZ
-112.06657,33.7993,BurgerKing,AZ
-112.06537,33.64059,BurgerKing,AZ
-112.06496000000001,33.37766,BurgerKing,AZ
-112.06491000000001,33.53888,BurgerKing,AZ
-112.06405,33.40655,BurgerKing,AZ
-112.05338,33.30556,BurgerKing,AZ
-112.04925,33.436659999999996,BurgerKing,AZ
-112.04708000000001,33.48007,BurgerKing,AZ
-112.03368,33.49465,BurgerKing,AZ
-112.02972,33.65491,BurgerKing,AZ
-112.01382,33.465920000000004,BurgerKing,AZ
-112.01326,33.593109999999996,BurgerKing,AZ
-111.9987,33.304959999999994,BurgerKing,AZ
-111.99569,33.43475,BurgerKing,AZ
-111.99521000000001,33.64048,BurgerKing,AZ
-111.99506000000001,33.40742,BurgerKing,AZ
-111.98892,33.480109999999996,BurgerKing,AZ
-111.98063,33.33059,BurgerKing,AZ
-111.97764,33.58664,BurgerKing,AZ
-109.94983,34.13497,BurgerKing,AZ
-112.33043,34.58556,BurgerKing,AZ
-112.48406000000001,34.55948,BurgerKing,AZ
-112.43111999999999,34.55193,BurgerKing,AZ
-111.68588000000001,33.219559999999994,BurgerKing,AZ
-111.93543000000001,33.480059999999995,BurgerKing,AZ
-111.91986000000001,33.46583,BurgerKing,AZ
-111.90568999999999,33.57455,BurgerKing,AZ
-111.89702,33.626459999999994,BurgerKing,AZ
-111.83814,33.58783,BurgerKing,AZ
-111.76480500000001,34.866201000000004,BurgerKing,AZ
-110.04227,34.25067,BurgerKing,AZ
-110.25716000000001,31.55818,BurgerKing,AZ
-111.87443,33.21825,BurgerKing,AZ
-112.37343999999999,33.65641,BurgerKing,AZ
-112.33186,33.638259999999995,BurgerKing,AZ
-111.95911000000001,33.34932,BurgerKing,AZ
-111.95603,33.407270000000004,BurgerKing,AZ
-111.94038,33.42176,BurgerKing,AZ
-111.93906000000001,33.39273,BurgerKing,AZ
-111.92876000000001,33.36353,BurgerKing,AZ
-111.92647,33.44231,BurgerKing,AZ
-111.90995,33.34932,BurgerKing,AZ
-111.90893,33.406929999999996,BurgerKing,AZ
-109.73474399999999,32.837111,BurgerKing,AZ
-109.7346,32.83725,BurgerKing,AZ
-111.09163999999998,32.357209999999995,BurgerKing,AZ
-111.04623000000001,32.33732,BurgerKing,AZ
-111.01543000000001,32.30565,BurgerKing,AZ
-111.00075,32.133590000000005,BurgerKing,AZ
-110.99399,32.17797,BurgerKing,AZ
-110.98386,32.22937,BurgerKing,AZ
-110.97933,32.25038,BurgerKing,AZ
-110.97798,32.28895,BurgerKing,AZ
-110.94548,32.27232,BurgerKing,AZ
-110.94418,32.23505,BurgerKing,AZ
-110.9412,32.16308,BurgerKing,AZ
-110.9339,32.13391,BurgerKing,AZ
-110.92203,32.4837,BurgerKing,AZ
